Timestamp,ProductionOrderID,LineID,EquipmentID,EquipmentType,ProductID,ProductName,MachineStatus,DowntimeReason,GoodUnitsProduced,ScrapUnitsProduced,TargetRate_units_per_5min,StandardCost_per_unit,SalePrice_per_unit,Availability_Score,Performance_Score,Quality_Score,OEE_Score,Energy_Consumption_kWh
2025-06-01 00:05:00,ORD-1001,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,12,0,45,0.15,0.5,100.0,26.7,100.0,26.7,0
2025-06-01 00:05:00,ORD-1001,LINE1,LINE1-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,7,0,45,0.15,0.5,100.0,15.6,100.0,15.6,0
2025-06-01 00:05:00,ORD-1001,LINE2,LINE2-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,18,1,45,0.15,0.5,100.0,42.2,94.7,40.0,0
2025-06-01 00:05:00,ORD-1001,LINE2,LINE2-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,13,2,45,0.15,0.5,100.0,33.3,86.7,28.9,0
2025-06-01 00:05:00,ORD-1001,LINE2,LINE2-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,16,1,45,0.15,0.5,100.0,37.8,94.1,35.6,0
2025-06-01 00:05:00,ORD-1001,LINE3,LINE3-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,14,0,45,0.15,0.5,100.0,31.1,100.0,31.1,0
2025-06-01 00:05:00,ORD-1001,LINE3,LINE3-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,9,1,45,0.15,0.5,100.0,22.2,90.0,20.0,0
2025-06-01 00:05:00,ORD-1001,LINE3,LINE3-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,11,2,45,0.15,0.5,100.0,28.9,84.6,24.4,0
2025-06-01 00:10:00,ORD-1002,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,9,0,45,0.15,0.5,100.0,20.0,100.0,20.0,0
2025-06-01 00:10:00,ORD-1002,LINE1,LINE1-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,7,0,45,0.15,0.5,100.0,15.6,100.0,15.6,0
2025-06-01 00:10:00,ORD-1002,LINE2,LINE2-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,19,0,45,0.15,0.5,100.0,42.2,100.0,42.2,0
2025-06-01 00:10:00,ORD-1002,LINE2,LINE2-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,16,1,45,0.15,0.5,100.0,37.8,94.1,35.6,0
