Timestamp,ProductionOrderID,LineID,EquipmentID,EquipmentType,ProductID,ProductName,MachineStatus,DowntimeReason,GoodUnitsProduced,ScrapUnitsProduced,TargetRate_units_per_5min,StandardCost_per_unit,SalePrice_per_unit,Availability_Score,Performance_Score,Quality_Score,OEE_Score,Energy_Consumption_kWh
2025-06-01 00:05:00,ORD-1001,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,31,2,500,0.15,0.5,100.0,13.8,93.9,12.9,0
2025-06-01 00:05:00,ORD-1001,LINE1,LINE1-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,23,4,500,0.15,0.5,100.0,10.9,85.2,9.3,0
2025-06-01 00:05:00,ORD-1001,LINE1,LINE1-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,28,2,500,0.15,0.5,100.0,6.0,93.3,5.6,0
2025-06-01 00:05:00,ORD-1001,LINE2,LINE2-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,33,4,500,0.15,0.5,100.0,7.4,89.2,6.6,0
2025-06-01 00:05:00,ORD-1001,LINE2,LINE2-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,24,0,500,0.15,0.5,100.0,4.8,100.0,4.8,0
2025-06-01 00:05:00,ORD-1001,LINE2,LINE2-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,31,2,500,0.15,0.5,100.0,6.6,93.9,6.2,0
2025-06-01 00:05:00,ORD-1001,LINE3,LINE3-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,29,0,500,0.15,0.5,100.0,5.8,100.0,5.8,0
2025-06-01 00:05:00,ORD-1001,LINE3,LINE3-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,24,0,500,0.15,0.5,100.0,4.8,100.0,4.8,0
2025-06-01 00:05:00,ORD-1001,LINE3,LINE3-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,25,2,500,0.15,0.5,100.0,5.4,92.6,5.0,0
2025-06-01 00:10:00,ORD-1002,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,29,2,500,0.15,0.5,100.0,12.9,93.5,12.1,0
2025-06-01 00:10:00,ORD-1002,LINE1,LINE1-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,26,2,500,0.15,0.5,100.0,11.3,92.9,10.5,0
2025-06-01 00:10:00,ORD-1002,LINE1,LINE1-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,25,4,500,0.15,0.5,100.0,5.8,86.2,5.0,0
2025-06-01 00:10:00,ORD-1002,LINE2,LINE2-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,27,3,500,0.15,0.5,100.0,6.0,90.0,5.4,0
2025-06-01 00:10:00,ORD-1002,LINE2,LINE2-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,23,4,500,0.15,0.5,100.0,5.4,85.2,4.6,0
2025-06-01 00:10:00,ORD-1002,LINE2,LINE2-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,26,2,500,0.15,0.5,100.0,5.6,92.9,5.2,0
2025-06-01 00:10:00,ORD-1002,LINE3,LINE3-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,28,2,500,0.15,0.5,100.0,6.0,93.3,5.6,0
2025-06-01 00:10:00,ORD-1002,LINE3,LINE3-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,20,3,500,0.15,0.5,100.0,4.6,87.0,4.0,0
2025-06-01 00:10:00,ORD-1002,LINE3,LINE3-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,24,1,500,0.15,0.5,100.0,5.0,96.0,4.8,0
2025-06-01 00:15:00,ORD-1003,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,23,0,500,0.15,0.5,100.0,9.6,100.0,9.6,0
2025-06-01 00:15:00,ORD-1003,LINE1,LINE1-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,19,1,500,0.15,0.5,100.0,8.1,95.0,7.7,0
2025-06-01 00:15:00,ORD-1003,LINE1,LINE1-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,22,1,500,0.15,0.5,100.0,4.6,95.7,4.4,0
2025-06-01 00:15:00,ORD-1003,LINE2,LINE2-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,20,1,500,0.15,0.5,100.0,4.2,95.2,4.0,0
2025-06-01 00:15:00,ORD-1003,LINE2,LINE2-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,19,1,500,0.15,0.5,100.0,4.0,95.0,3.8,0
2025-06-01 00:15:00,ORD-1003,LINE2,LINE2-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,21,2,500,0.15,0.5,100.0,4.6,91.3,4.2,0
2025-06-01 00:15:00,ORD-1003,LINE3,LINE3-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,27,0,500,0.15,0.5,100.0,5.4,100.0,5.4,0
2025-06-01 00:15:00,ORD-1003,LINE3,LINE3-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,22,2,500,0.15,0.5,100.0,4.8,91.7,4.4,0
2025-06-01 00:15:00,ORD-1003,LINE3,LINE3-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,28,0,500,0.15,0.5,100.0,5.6,100.0,5.6,0
2025-06-01 00:20:00,ORD-1004,LINE1,LINE1-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,23,0,500,0.15,0.5,100.0,9.6,100.0,9.6,0
2025-06-01 00:20:00,ORD-1004,LINE1,LINE1-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,16,1,500,0.15,0.5,100.0,6.9,94.1,6.5,0
2025-06-01 00:20:00,ORD-1004,LINE1,LINE1-PCK,Packer,SKU-1001,12oz Sparkling Water,Running,,18,3,500,0.15,0.5,100.0,4.2,85.7,3.6,0
2025-06-01 00:20:00,ORD-1004,LINE2,LINE2-FIL,Filler,SKU-1001,12oz Sparkling Water,Running,,21,3,500,0.15,0.5,100.0,4.8,87.5,4.2,0
2025-06-01 00:20:00,ORD-1004,LINE2,LINE2-PAL,Palletizer,SKU-1001,12oz Sparkling Water,Running,,24,0,500,0.15,0.5,100.0,4.8,100.0,4.8,0
