Timestamp,ProductionOrderID,LineID,EquipmentID,EquipmentType,ProductID,ProductName,MachineStatus,DowntimeReason,GoodUnitsProduced,ScrapUnitsProduced,TargetRate_units_per_5min,StandardCost_per_unit,SalePrice_per_unit,Availability_Score,Performance_Score,Quality_Score,OEE_Score
2025-06-01 00:00:00,ORD-001,1,LINE1-FIL,Filler,SKU-1001,8oz Water Bottle,Stopped,UNP-MAT,0,0,475,0.15,0.5,100.0,0.0,100.0,0.0
2025-06-01 00:00:00,ORD-001,1,LINE1-PCK,Packer,SKU-1001,8oz Water Bottle,Stopped,UNP-MAT,0,0,475,0.15,0.5,100.0,0.0,100.0,0.0
2025-06-01 00:00:00,ORD-001,1,LINE1-PAL,Palletizer,SKU-1001,8oz Water Bottle,Stopped,UNP-MAT,0,0,475,0.15,0.5,100.0,0.0,100.0,0.0
2025-06-01 00:00:00,ORD-002,2,LINE2-FIL,Filler,SKU-2001,12oz Soda,Stopped,UNP-MAT,0,0,475,0.2,0.65,100.0,0.0,100.0,0.0
2025-06-01 00:00:00,ORD-002,2,LINE2-PCK,Packer,SKU-2001,12oz Soda,Stopped,UNP-MAT,0,0,475,0.2,0.65,100.0,0.0,100.0,0.0
2025-06-01 00:00:00,ORD-002,2,LINE2-PAL,Palletizer,SKU-2001,12oz Soda,Stopped,UNP-MAT,0,0,475,0.2,0.65,100.0,0.0,100.0,0.0
2025-06-01 00:00:00,ORD-003,3,LINE3-FIL,Filler,SKU-1002,8oz Juice,Stopped,UNP-MAT,0,0,475,0.25,0.85,100.0,0.0,100.0,0.0
2025-06-01 00:00:00,ORD-003,3,LINE3-PCK,Packer,SKU-1002,8oz Juice,Stopped,UNP-MAT,0,0,475,0.25,0.85,100.0,0.0,100.0,0.0
2025-06-01 00:00:00,ORD-003,3,LINE3-PAL,Palletizer,SKU-1002,8oz Juice,Stopped,UNP-MAT,0,0,475,0.25,0.85,100.0,0.0,100.0,0.0
2025-06-01 00:05:00,ORD-001,1,LINE1-FIL,Filler,SKU-1001,8oz Water Bottle,Running,,275,14,475,0.15,0.5,100.0,110.0,95.0,104.5
2025-06-01 00:05:00,ORD-001,1,LINE1-PCK,Packer,SKU-1001,8oz Water Bottle,Running,,241,18,475,0.15,0.5,100.0,110.0,93.0,102.3
2025-06-01 00:05:00,ORD-001,1,LINE1-PAL,Palletizer,SKU-1001,8oz Water Bottle,Stopped,UNP-MAT,220,9,475,0.15,0.5,100.0,110.0,96.0,105.6
2025-06-01 00:05:00,ORD-002,2,LINE2-FIL,Filler,SKU-2001,12oz Soda,Running,,272,17,475,0.2,0.65,100.0,110.0,94.0,103.4
2025-06-01 00:05:00,ORD-002,2,LINE2-PCK,Packer,SKU-2001,12oz Soda,Stopped,UNP-MAT,239,20,475,0.2,0.65,100.0,110.0,92.0,101.2
2025-06-01 00:05:00,ORD-002,2,LINE2-PAL,Palletizer,SKU-2001,12oz Soda,Stopped,UNP-MAT,218,11,475,0.2,0.65,100.0,110.0,95.0,104.5
2025-06-01 00:05:00,ORD-003,3,LINE3-FIL,Filler,SKU-1002,8oz Juice,Stopped,UNP-MECH,115,4,475,0.25,0.85,40.3,110.0,96.0,42.6
2025-06-01 00:05:00,ORD-003,3,LINE3-PCK,Packer,SKU-1002,8oz Juice,Stopped,UNP-MAT,103,6,475,0.25,0.85,100.0,110.0,94.0,103.4
2025-06-01 00:05:00,ORD-003,3,LINE3-PAL,Palletizer,SKU-1002,8oz Juice,Stopped,UNP-MAT,97,3,475,0.25,0.85,100.0,110.0,97.0,106.7
2025-06-01 00:10:00,ORD-001,1,LINE1-FIL,Filler,SKU-1001,8oz Water Bottle,Running,,285,15,475,0.15,0.5,100.0,110.0,95.0,104.5
2025-06-01 00:10:00,ORD-001,1,LINE1-PCK,Packer,SKU-1001,8oz Water Bottle,Stopped,UNP-MAT,269,20,475,0.15,0.5,100.0,110.0,93.0,102.3
2025-06-01 00:10:00,ORD-001,1,LINE1-PAL,Palletizer,SKU-1001,8oz Water Bottle,Running,,259,10,475,0.15,0.5,100.0,110.0,96.0,105.6
